NumAnc	NumDer	AFRDerFreq	EURDerFreq	Counts
43	0	0.33	0.31	1
40	1	0.27	0.06	1
61	1	0.29	0.29	1
67	0	0.08	0.01	1
53	0	0.74	0.95	1
56	0	0.64	0.88	1
0	43	0.54	0.41	1
55	0	0.26	0.34	1
38	0	0.01	0.02	1
46	0	0.21	0.43	1
29	1	0.03	0.22	1
0	57	0.81	0.63	1
38	0	0.06	0.03	1
0	35	0.38	0.61	1
49	0	0.09	0.12	1
60	0	0.13	0.01	2
0	58	0.53	0.73	1
30	1	0.15	0.28	1
57	0	0.12	0.07	1
59	0	0.27	0.46	1
38	0	0.34	0.67	1
0	44	0.83	0.21	1
50	0	0.01	0.27	2
42	0	0.34	0.54	1
0	56	0.77	0.37	1
45	0	0.17	0.73	1
46	0	0.05	0.06	1
0	58	0.52	0.35	1
37	0	0.15	0.23	1
21	0	0.14	0.17	1
0	56	0.15	0.07	1
62	0	0.06	0.07	1
46	0	0.56	0.38	1
35	0	0.04	0.34	1
40	0	0.27	0.1	1
43	0	0.03	0.11	1
49	0	0.38	0.48	2
33	0	0.16	0.04	1
51	0	0.02	0.26	1
0	42	0.35	0.28	1
58	0	0.07	0.1	1
69	0	0.09	0.03	1
57	0	0.08	0.04	1
52	0	0.08	0.46	1
39	0	0.01	0.03	1
40	0	0.62	0.71	1
43	0	0.03	0.05	1
16	24	0.89	0.75	1
36	1	0.03	0.43	1
34	0	0.08	0.21	1
42	1	0.39	0.49	1
50	0	0.15	0.51	1
30	0	0.08	0.04	1
40	1	0.22	0.58	1
41	0	0.01	0.11	1
47	0	0.11	0.06	1
41	1	0.23	0.56	1
64	0	0.08	0.34	1
47	0	0.04	0.17	1
38	0	0.09	0.06	1
2	48	0.15	0.01	1
0	36	0.41	0.23	1
37	0	0.85	0.88	1
0	47	0.97	0.97	1
0	36	0.1	0.66	1
62	0	0.04	0.11	1
0	42	0.96	0.42	1
41	0	0.11	0.1	1
0	48	0.88	0.76	1
50	0	0.27	0.63	1
46	0	0.13	0.01	1
37	1	0.39	0.14	1
1	34	0.82	0.14	1
35	0	0.05	0.15	1
48	0	0.06	0.19	1
46	0	0.62	0.56	1
34	1	0.23	0.23	1
43	0	0.18	0.22	1
43	0	0.03	0.09	1
48	0	0.33	0.28	1
53	0	0.43	0.22	1
37	0	0.01	0.05	1
37	0	0.22	0.09	1
49	2	0.15	0.09	1
39	0	0.35	0.3	1
0	47	0.37	0.02	1
38	0	0.55	0.62	1
59	0	0.02	0.04	1
50	2	0.11	0.03	1
34	0	0.13	0.18	1
55	1	0.8	0.92	1
33	1	0.17	0.67	1
44	0	0.35	0.55	1
57	0	0.04	0.07	1
50	0	0.92	0.91	1
0	38	0.46	0.46	1
0	36	0.47	0.91	1
35	0	0.63	0.5	1
0	63	0.6	0.18	1
35	0	0.06	0.1	1
30	0	0.13	0.16	1
37	0	0.18	0.48	1
0	47	0.56	0.7	1
59	0	0.04	0.26	1
0	40	0.22	0.08	1
0	46	0.32	0.53	1
35	0	0.11	0.02	1
44	0	0.01	0.18	1
49	1	0.12	0.13	1
41	0	0.08	0.12	1
48	0	0.35	0.86	1
48	0	0.14	0.09	1
49	0	0.01	0.17	1
52	0	0.25	0.24	1
32	0	0.15	0.02	1
40	0	0.01	0.12	1
72	0	0.96	0.91	1
44	1	0.19	0.36	1
56	0	0.01	0.01	1
43	0	0.49	0.49	1
37	0	0.31	0.19	1
1	35	0.96	0.98	1
53	0	0.03	0.01	1
0	43	0.49	0.21	1
55	0	0.21	0.05	1
65	0	0.03	0.04	1
0	48	0.21	0.61	1
49	0	0.14	0.05	1
0	51	0.63	0.71	1
57	0	0.01	0.04	1
64	0	0.16	0.1	1
0	41	0.88	0.9	1
46	0	0.95	0.92	1
42	0	0.07	0.09	1
39	0	0.71	0.95	1
1	38	0.1	0.28	1
74	7	0.07	0.32	1
0	32	0.1	0.03	1
52	0	0.07	0.49	1
47	0	0.13	0.08	1
44	0	0.08	0.04	1
37	1	0.11	0.29	1
35	0	0.06	0.21	1
70	0	0.01	0.02	1
36	0	0.04	0.12	1
32	0	0.3	0.07	1
33	0	0.06	0.13	2
28	0	0.42	0.01	1
46	1	0.24	0.04	1
49	0	0.34	0.05	1
46	0	0.04	0.26	1
77	0	0.19	0.4	1
0	54	0.62	0.71	1
48	0	0.25	0.35	1
56	1	0.12	0.26	1
55	0	0.37	0.54	1
1	43	0.68	0.93	1
58	1	0.19	0.09	1
0	45	0.07	0.04	2
0	38	0.33	0.4	1
50	1	0.57	0.9	1
0	39	0.65	0.83	1
48	1	0.59	0.07	1
1	34	0.22	0.12	1
53	1	0.11	0.53	1
57	2	0.02	0.02	1
0	58	0.84	0.96	1
34	0	0.08	0.54	1
46	1	0.17	0.17	1
0	47	0.54	0.77	1
47	0	0.42	0.24	1
47	0	0.01	0.17	1
51	0	0.42	0.94	1
45	0	0.17	0.3	1
0	61	0.27	0.14	1
2	37	0.29	0.06	1
61	0	0.37	0.26	1
62	0	0.2	0.23	1
59	0	0.84	0.65	1
61	0	0.15	0.01	1
31	0	0.23	0.09	1
42	0	0.09	0.07	1
36	0	0.04	0.08	1
0	46	0.81	0.86	1
0	41	0.39	0.43	1
70	0	0.01	0.08	1
50	0	0.01	0.17	1
59	0	0.33	0.06	1
35	0	0.44	0.16	1
45	0	0.23	0.22	1
35	0	0.13	0.01	1
36	0	0.01	0.1	1
2	35	0.47	0.23	1
44	1	0.23	0.17	1
28	0	0.38	0.4	1
36	0	0.3	0.03	1
1	32	0.38	0.01	1
37	0	0.01	0.01	3
56	0	0.38	0.25	1
2	48	0.86	0.64	1
56	0	0.26	0.01	1
41	0	0.01	0.13	1
52	0	0.76	0.97	1
69	0	0.05	0.26	1
2	51	0.66	0.16	1
43	0	0.01	0.01	1
39	0	0.39	0.29	1
0	43	0.63	0.86	1
26	0	0.42	0.31	1
43	37	0.64	0.67	1
43	0	0.08	0.28	1
2	52	0.19	0.39	1
56	0	0.2	0.25	1
0	75	0.16	0.16	1
52	2	0.03	0.08	1
1	50	0.23	0.17	1
44	0	0.03	0.14	1
0	28	0.94	0.47	1
61	0	0.85	0.9	1
0	42	0.09	0.03	1
37	0	0.68	0.62	1
40	0	0.24	0.06	1
33	0	0.11	0.04	1
1	63	0.14	0.01	1
34	0	0.83	0.6	1
52	1	0.1	0.08	1
65	0	0.34	0.67	1
0	58	0.47	0.38	1
54	0	0.48	0.36	1
1	41	0.49	0.04	1
43	0	0.36	0.39	1
42	0	0.02	0.01	1
71	1	0.1	0.22	1
54	0	0.05	0.01	1
38	0	0.37	0.49	1
37	0	0.31	0.03	1
39	0	0.06	0.03	1
38	0	0.25	0.14	1
2	55	0.47	0.11	1
2	34	0.01	0.14	1
36	1	0.11	0.5	1
35	0	0.66	0.97	1
47	0	0.01	0.06	1
38	0	0.04	0.44	1
41	0	0.24	0.32	1
0	42	0.04	0.02	1
0	40	0.79	0.65	1
57	0	0.56	0.67	1
41	0	0.24	0.08	1
56	1	0.08	0.15	1
42	0	0.14	0.56	1
65	0	0.01	0.07	1
43	0	0.19	0.01	2
66	0	0.15	0.08	1
39	0	0.96	0.87	1
31	1	0.01	0.11	1
0	51	0.49	0.73	1
54	0	0.02	0.22	1
47	0	0.01	0.13	1
53	0	0.26	0.07	1
47	1	0.91	0.88	1
39	0	0.16	0.3	1
54	0	0.21	0.1	1
43	0	0.08	0.04	1
49	0	0.13	0.25	1
0	38	0.31	0.5	1
51	0	0.03	0.02	1
53	0	0.09	0.02	1
41	0	0.43	0.38	1
36	0	0.01	0.01	1
32	0	0.27	0.3	1
35	0	0.41	0.47	1
42	0	0.25	0.04	1
44	0	0.02	0.13	1
33	0	0.05	0.04	1
40	0	0.3	0.42	1
0	43	0.01	0.01	1
0	54	0.01	0.17	1
59	1	0.02	0.02	1
38	0	0.16	0.01	1
30	0	0.16	0.47	1
70	0	0.21	0.09	1
44	1	0.17	0.16	1
55	0	0.19	0.37	1
65	0	0.57	0.59	1
55	0	0.01	0.15	1
55	0	0.02	0.01	1
59	0	0.2	0.58	1
47	0	0.07	0.11	1
38	1	0.02	0.11	1
0	42	0.21	0.61	2
64	0	0.02	0.22	1
37	0	0.3	0.03	1
37	0	0.44	0.89	1
39	0	0.01	0.01	1
50	1	0.19	0.51	1
25	1	0.27	0.68	1
51	1	0.99	0.97	1
59	0	0.03	0.16	1
0	50	0.6	0.97	1
55	0	0.53	0.41	1
0	41	0.24	0.01	1
30	0	0.06	0.12	1
0	37	0.71	0.9	1
40	0	0.01	0.1	1
34	0	0.01	0.14	1
0	48	0.43	0.19	1
0	44	0.04	0.17	1
29	0	0.66	0.33	1
3	73	0.6	0.15	1
68	0	0.26	0.01	2
0	64	0.56	0.49	1
48	0	0.51	0.74	1
44	0	0.48	0.28	1
49	0	0.48	0.01	1
43	1	0.01	0.27	1
41	0	0.31	0.05	1
35	0	0.33	0.17	1
31	0	0.62	0.47	1
53	0	0.17	0.26	1
53	0	0.07	0.27	1
0	50	0.92	0.83	1
19	17	0.47	0.5	1
33	1	0.51	0.79	1
43	2	0.03	0.18	1
43	1	0.02	0.25	1
33	0	0.21	0.45	1
0	31	0.67	0.91	1
39	3	0.94	0.57	1
0	48	0.91	0.68	1
58	0	0.51	0.13	1
40	1	0.04	0.43	1
53	3	0.23	0.21	1
48	1	0.48	0.68	1
1	65	0.14	0.51	1
0	48	0.5	0.59	1
40	0	0.68	0.88	1
38	0	0.01	0.01	1
0	35	0.72	0.63	1
59	0	0.25	0.25	1
0	55	0.32	0.42	1
43	1	0.27	0.48	1
34	0	0.14	0.55	1
73	0	0.22	0.15	1
0	49	0.5	0.51	1
36	0	0.1	0.56	1
33	0	0.07	0.31	1
0	46	0.67	0.23	1
53	0	0.21	0.11	1
44	0	0.02	0.03	1
61	0	0.26	0.27	1
72	1	0.03	0.5	1
46	0	0.18	0.33	1
42	0	0.22	0.02	1
52	3	0.94	0.96	1
47	0	0.19	0.51	1
36	0	0.14	0.07	1
50	0	0.38	0.65	1
0	53	0.34	0.77	1
30	0	0.02	0.09	1
58	1	0.33	0.42	1
58	0	0.28	0.09	1
52	1	0.18	0.15	1
0	52	0.71	0.63	1
2	27	0.5	0.27	1
31	27	0.06	0.03	1
0	66	0.79	0.97	1
47	0	0.64	0.79	1
42	1	0.31	0.56	1
16	21	0.38	0.21	1
0	40	0.66	0.91	1
0	40	0.41	0.48	1
55	1	0.03	0.01	1
36	0	0.34	0.45	1
52	0	0.13	0.07	1
52	1	0.19	0.33	1
49	0	0.01	0.16	1
56	0	0.1	0.04	1
25	0	0.21	0.43	1
1	60	0.99	0.67	1
59	0	0.09	0.1	1
64	1	0.74	0.87	1
45	0	0.02	0.01	1
56	0	0.33	0.47	1
36	1	0.22	0.33	1
46	0	0.09	0.02	1
0	35	0.01	0.13	1
53	0	0.55	0.33	1
48	0	0.57	0.53	1
46	1	0.09	0.01	1
55	1	0.1	0.56	1
2	44	0.83	0.91	1
0	69	0.41	0.53	1
43	0	0.17	0.16	1
57	0	0.06	0.01	1
43	0	0.59	0.57	1
52	0	0.13	0.65	1
34	2	0.49	0.71	1
57	0	0.03	0.13	1
47	0	0.54	0.66	1
42	0	0.38	0.02	1
0	45	0.41	0.29	1
0	41	0.01	0.02	1
50	0	0.01	0.13	1
1	42	0.13	0.26	1
44	0	0.31	0.46	1
48	0	0.08	0.31	1
33	0	0.47	0.26	1
32	1	0.13	0.29	1
43	0	0.11	0.78	1
2	38	0.16	0.36	1
29	0	0.01	0.06	1
41	0	0.16	0.2	1
46	1	0.68	0.69	1
50	1	0.4	0.86	1
1	54	0.81	0.47	1
42	3	0.4	0.83	1
53	0	0.72	0.58	1
34	2	0.02	0.01	1
52	1	0.02	0.24	1
38	0	0.85	0.99	1
99	1	0.35	0.82	1
37	1	0.27	0.6	1
31	0	0.22	0.06	1
48	0	0.33	0.13	1
64	0	0.15	0.5	1
59	0	0.11	0.12	1
41	0	0.04	0.01	1
55	0	0.21	0.28	1
51	0	0.08	0.01	1
54	0	0.69	0.54	1
0	44	0.39	0.46	1
19	0	0.16	0.01	1
21	0	0.73	0.51	1
0	37	0.55	0.3	1
44	0	0.02	0.1	1
37	0	0.64	0.57	1
29	1	0.13	0.16	1
53	0	0.06	0.04	1
66	0	0.09	0.03	1
55	0	0.2	0.21	1
48	1	0.05	0.03	1
52	0	0.07	0.35	1
44	0	0.04	0.18	1
43	0	0.05	0.08	1
73	0	0.2	0.16	1
54	2	0.96	0.97	1
34	0	0.1	0.4	1
1	45	0.61	0.06	1
44	0	0.99	0.86	1
0	51	0.48	0.61	1
55	0	0.38	0.29	1
36	0	0.03	0.07	1
90	0	0.5	0.67	1
40	0	0.16	0.29	1
46	0	0.24	0.05	1
39	0	0.09	0.19	1
54	0	0.68	0.83	1
17	25	0.92	0.82	1
28	2	0.07	0.52	1
0	53	0.74	0.74	1
68	0	0.12	0.72	1
1	41	0.03	0.22	1
69	0	0.4	0.01	1
72	1	0.41	0.88	1
46	0	0.01	0.05	3
41	0	0.31	0.31	1
39	0	0.27	0.51	1
0	48	0.75	0.97	1
60	0	0.03	0.01	1
42	0	0.33	0.16	1
46	1	0.71	0.87	1
35	0	0.05	0.01	1
48	0	0.45	0.43	1
0	58	0.49	0.28	1
37	0	0.01	0.06	1
34	0	0.73	0.8	1
41	0	0.05	0.01	1
68	0	0.61	0.14	1
38	0	0.17	0.15	1
45	1	0.09	0.03	1
48	0	0.33	0.6	1
43	0	0.11	0.23	1
55	0	0.42	0.52	1
37	2	0.68	0.78	1
52	0	0.06	0.56	1
0	44	0.25	0.37	1
23	0	0.05	0.06	1
50	0	0.12	0.07	1
41	0	0.71	0.94	1
54	0	0.03	0.04	1
40	1	0.9	0.88	1
40	1	0.03	0.22	1
56	0	0.24	0.18	1
48	3	0.11	0.26	1
39	0	0.09	0.43	1
45	0	0.04	0.14	3
0	61	0.05	0.49	1
44	0	0.28	0.36	1
33	0	0.76	0.34	1
33	0	0.04	0.05	1
21	23	0.02	0.01	1
43	0	0.11	0.01	1
54	0	0.14	0.01	1
46	0	0.71	0.49	1
47	1	0.21	0.14	1
38	1	0.29	0.11	1
51	0	0.01	0.18	1
41	0	0.09	0.19	1
52	1	0.36	0.24	1
0	30	0.6	0.5	1
44	0	0.06	0.06	1
41	0	0.03	0.02	1
52	0	0.17	0.01	1
44	0	0.01	0.08	1
0	42	0.27	0.02	1
26	1	0.35	0.22	1
59	0	0.02	0.08	1
47	2	0.49	0.83	1
60	0	0.08	0.08	1
38	0	0.19	0.2	1
33	0	0.99	0.97	1
46	0	0.15	0.15	2
35	0	0.01	0.17	1
48	1	0.96	0.91	1
37	1	0.02	0.26	1
46	0	0.07	0.08	1
62	0	0.07	0.51	2
0	45	0.46	0.83	1
43	0	0.98	0.78	1
33	0	0.34	0.79	1
52	0	0.14	0.18	1
47	0	0.1	0.23	1
31	0	0.05	0.02	1
51	0	0.92	0.93	1
30	0	0.01	0.12	1
45	0	0.33	0.5	1
33	0	0.03	0.07	1
0	63	0.9	0.94	2
48	0	0.35	0.45	1
0	37	0.49	0.19	1
0	51	0.5	0.88	1
40	0	0.05	0.12	1
70	0	0.1	0.03	1
1	35	0.13	0.09	1
43	0	0.52	0.03	1
37	0	0.29	0.56	1
40	3	0.33	0.7	1
38	0	0.06	0.14	1
42	0	0.04	0.14	1
0	35	0.39	0.52	1
68	0	0.05	0.35	1
35	0	0.16	0.49	1
42	1	0.09	0.71	2
57	0	0.06	0.13	1
56	1	0.59	0.49	1
40	0	0.15	0.31	1
51	0	0.16	0.61	1
51	0	0.01	0.01	1
37	0	0.05	0.02	1
47	0	0.3	0.53	1
49	0	0.13	0.25	1
64	0	0.03	0.29	1
53	0	0.01	0.1	1
36	0	0.21	0.1	1
37	0	0.21	0.21	1
47	1	0.2	0.29	1
1	39	0.23	0.01	1
53	0	0.25	0.01	1
2	59	0.04	0.04	1
53	0	0.03	0.01	1
79	0	0.98	0.98	1
27	0	0.1	0.02	1
35	0	0.01	0.08	1
0	36	0.88	0.76	1
37	0	0.3	0.62	1
49	0	0.03	0.15	1
47	0	0.12	0.3	1
36	0	0.64	0.85	1
62	0	0.07	0.04	1
3	57	0.01	0.03	1
35	1	0.29	0.4	1
29	1	0.93	0.86	1
1	57	0.86	0.75	1
0	58	0.19	0.63	1
36	0	0.03	0.19	1
35	0	0.14	0.59	1
1	27	0.92	0.54	1
34	1	0.03	0.08	1
43	1	0.18	0.05	1
56	0	0.14	0.09	2
0	49	0.66	0.86	1
36	0	0.37	0.33	1
51	0	0.17	0.04	1
0	41	0.08	0.49	1
44	1	0.27	0.32	1
57	1	0.12	0.02	1
0	60	0.66	0.76	1
55	1	0.73	0.83	1
52	1	0.06	0.03	1
1	36	0.34	0.09	1
41	1	0.78	0.94	1
37	1	0.42	0.16	1
41	0	0.05	0.09	1
69	0	0.15	0.02	1
39	2	0.74	0.98	1
34	2	0.82	0.24	1
59	0	0.03	0.04	1
35	2	0.05	0.01	1
39	0	0.08	0.28	1
30	2	0.16	0.15	1
26	0	0.01	0.01	1
70	0	0.56	0.69	1
42	0	0.2	0.01	1
49	0	0.34	0.16	1
60	1	0.1	0.05	1
45	1	0.17	0.3	1
1	30	0.61	0.43	1
48	0	0.04	0.02	1
0	44	0.24	0.54	1
43	0	0.19	0.22	1
38	0	0.34	0.45	1
28	0	0.17	0.59	1
60	0	0.37	0.3	1
45	0	0.33	0.21	1
44	1	0.51	0.99	1
61	0	0.2	0.66	1
49	0	0.41	0.68	1
0	56	0.47	0.41	1
0	52	0.45	0.82	1
33	0	0.33	0.56	1
0	55	0.08	0.17	1
37	0	0.15	0.13	1
46	0	0.04	0.25	1
52	1	0.27	0.35	1
0	72	0.38	0.53	1
45	0	0.05	0.22	1
52	0	0.09	0.01	1
43	3	0.02	0.16	1
42	0	0.15	0.12	1
57	0	0.18	0.21	1
68	1	0.01	0.12	1
25	22	0.71	0.38	1
37	2	0.01	0.11	1
41	0	0.03	0.08	1
40	0	0.24	0.17	1
58	0	0.87	0.51	1
57	0	0.22	0.04	1
25	0	0.57	0.25	1
49	1	0.08	0.03	1
41	0	0.5	0.34	1
40	1	0.04	0.26	1
43	0	0.15	0.18	1
50	0	0.34	0.01	1
38	0	0.09	0.27	1
52	0	0.02	0.01	3
1	66	0.89	0.72	1
43	0	0.25	0.37	1
47	0	0.04	0.01	1
48	0	0.28	0.48	1
28	0	0.13	0.25	1
37	0	0.02	0.2	1
60	0	0.58	0.28	1
35	1	0.06	0.42	1
43	1	0.41	0.47	1
51	0	0.72	0.59	1
40	0	0.6	0.55	1
56	0	0.01	0.19	1
0	37	0.6	0.98	1
43	5	0.08	0.15	1
0	41	0.76	0.7	1
51	1	0.06	0.68	1
45	0	0.54	0.59	1
43	0	0.35	0.28	1
51	1	0.69	0.31	1
59	0	0.35	0.17	1
36	0	0.11	0.18	1
0	47	0.99	0.95	1
1	51	0.68	0.64	1
0	32	0.67	0.92	1
51	0	0.03	0.15	1
44	0	0.01	0.27	1
1	38	0.05	0.05	1
0	38	0.51	0.71	1
58	0	0.04	0.1	1
42	0	0.08	0.1	1
34	0	0.03	0.26	2
60	1	0.78	0.89	1
57	0	0.01	0.05	1
1	53	0.63	0.36	1
57	0	0.28	0.28	1
38	0	0.65	0.46	1
87	0	0.68	0.51	1
0	50	0.72	0.96	1
56	0	0.36	0.51	1
52	1	0.14	0.2	1
57	0	0.48	0.69	1
0	30	0.49	0.07	1
44	2	0.01	0.02	1
49	0	0.06	0.17	1
38	0	0.16	0.01	1
45	0	0.62	0.69	1
36	0	0.04	0.35	1
36	0	0.55	0.49	1
0	62	0.43	0.8	2
0	35	0.65	0.84	1
1	45	0.48	0.3	1
1	43	0.86	0.97	1
44	0	0.27	0.02	1
1	45	0.63	0.2	1
34	1	0.5	0.43	1
38	0	0.39	0.03	1
38	2	0.28	0.27	1
50	0	0.22	0.55	1
47	1	0.74	0.84	1
60	0	0.01	0.07	1
48	0	0.01	0.01	1
56	0	0.41	0.07	1
41	0	0.25	0.41	1
54	0	0.19	0.36	1
0	47	0.7	0.61	1
63	0	0.19	0.48	1
69	0	0.07	0.45	1
33	0	0.18	0.12	1
2	59	0.03	0.02	1
57	1	0.83	0.9	1
43	0	0.06	0.01	1
39	0	0.33	0.44	1
41	0	0.36	0.16	1
0	55	0.62	0.86	1
31	0	0.97	0.91	1
68	0	0.2	0.23	1
56	0	0.63	0.19	1
40	0	0.01	0.09	1
44	1	0.08	0.45	1
0	46	0.25	0.52	1
44	0	0.4	0.5	1
40	0	0.62	0.77	1
37	0	0.8	0.72	1
42	0	0.82	0.96	1
41	0	0.18	0.24	1
1	61	0.36	0.16	1
0	49	0.44	0.37	1
39	2	0.11	0.47	1
46	0	0.12	0.51	1
48	0	0.07	0.23	1
39	1	0.01	0.16	1
29	0	0.06	0.33	1
66	1	0.35	0.75	1
0	46	0.5	0.43	1
47	0	0.04	0.33	1
49	0	0.13	0.24	1
0	46	0.82	0.86	1
39	0	0.04	0.1	1
31	0	0.05	0.23	1
36	1	0.36	0.58	1
71	0	0.01	0.05	1
40	1	0.23	0.14	1
44	0	0.03	0.06	1
1	33	0.7	0.88	1
28	0	0.04	0.02	1
57	1	0.09	0.71	1
1	47	0.5	0.36	1
0	42	0.78	0.61	1
42	0	0.31	0.12	1
1	41	0.42	0.07	1
43	1	0.25	0.36	1
34	0	0.99	0.95	1
0	35	0.67	0.75	1
42	0	0.56	0.43	1
88	0	0.1	0.02	1
42	0	0.16	0.01	1
49	0	0.14	0.03	1
0	45	0.18	0.51	1
42	0	0.13	0.08	1
0	48	0.73	0.88	1
0	52	0.48	0.4	1
41	0	0.79	0.95	1
45	2	0.87	0.96	1
0	37	0.08	0.15	1
22	0	0.53	0.36	1
53	1	0.11	0.09	1
27	0	0.2	0.05	1
0	58	0.13	0.3	1
0	48	0.01	0.17	1
0	40	0.83	0.99	1
68	0	0.29	0.27	1
40	0	0.23	0.13	1
54	0	0.09	0.21	1
44	0	0.15	0.07	1
0	42	0.65	0.45	1
46	0	0.04	0.35	1
27	0	0.34	0.16	1
39	0	0.18	0.42	1
0	43	0.29	0.07	1
37	0	0.01	0.11	1
60	0	0.17	0.18	1
57	0	0.45	0.31	1
61	0	0.02	0.06	1
55	0	0.32	0.59	1
37	0	0.06	0.22	1
51	0	0.83	0.83	1
34	0	0.31	0.13	1
68	0	0.37	0.28	1
45	0	0.18	0.08	1
55	0	0.06	0.65	1
39	0	0.05	0.29	1
47	0	0.11	0.45	1
52	1	0.77	0.97	1
42	0	0.27	0.38	1
41	0	0.01	0.08	1
37	0	0.02	0.07	1
36	0	0.02	0.01	2
54	2	0.73	0.9	1
39	1	0.33	0.54	1
55	0	0.57	0.54	1
30	0	0.3	0.92	1
35	0	0.36	0.59	1
59	1	0.04	0.22	1
50	0	0.39	0.39	1
54	0	0.3	0.45	1
40	1	0.02	0.17	1
69	0	0.01	0.04	1
0	38	0.55	0.76	1
38	0	0.25	0.01	1
43	0	0.33	0.16	1
26	15	0.23	0.12	1
51	0	0.08	0.31	1
0	36	0.25	0.45	1
67	2	0.03	0.14	1
50	0	0.07	0.02	1
41	0	0.01	0.18	1
10	0	0.05	0.05	1
39	8	0.23	0.32	1
31	0	0.26	0.22	1
53	0	0.05	0.05	1
38	1	0.02	0.04	1
51	0	0.23	0.19	1
2	36	0.32	0.03	1
39	1	0.1	0.06	1
0	44	0.83	0.52	1
33	0	0.12	0.06	1
39	0	0.28	0.1	1
1	47	0.01	0.17	1
51	0	0.15	0.39	1
1	37	0.73	0.52	1
39	0	0.18	0.06	1
54	0	0.09	0.08	1
53	0	0.18	0.03	2
0	33	0.51	0.15	1
0	41	0.45	0.7	1
42	4	0.69	0.37	1
53	0	0.04	0.04	1
41	0	0.27	0.5	1
0	33	0.63	0.75	1
69	0	0.18	0.11	1
51	0	0.43	0.55	1
38	2	0.69	0.97	1
48	1	0.02	0.03	1
54	0	0.02	0.26	1
0	39	0.86	0.88	1
0	30	0.82	0.8	1
48	1	0.17	0.28	1
43	0	0.12	0.31	1
0	38	0.03	0.07	1
58	0	0.26	0.06	1
0	47	0.24	0.09	1
62	1	0.44	0.65	1
77	0	0.25	0.06	1
42	0	0.28	0.33	1
0	43	0.84	0.82	1
42	0	0.12	0.19	1
19	0	0.36	0.93	1
0	51	0.26	0.24	1
44	1	0.05	0.03	1
38	0	0.67	0.06	1
48	0	0.8	0.98	2
65	0	0.21	0.22	1
0	50	0.39	0.53	1
1	28	0.59	0.49	1
0	66	0.56	0.88	1
37	0	0.01	0.07	1
60	0	0.9	0.87	1
43	1	0.06	0.01	1
53	1	0.57	0.84	1
87	0	0.01	0.04	1
40	0	0.02	0.2	1
39	0	0.12	0.65	1
44	0	0.03	0.12	1
28	0	0.18	0.33	1
49	0	0.03	0.09	1
53	0	0.19	0.02	1
50	0	0.1	0.34	1
33	0	0.01	0.09	1
0	55	0.86	0.99	1
65	1	0.01	0.17	1
56	0	0.01	0.08	1
59	1	0.42	0.07	1
47	0	0.21	0.03	1
35	0	0.2	0.37	1
48	0	0.29	0.02	1
50	0	0.28	0.63	1
0	47	0.04	0.05	1
0	56	0.04	0.06	1
23	0	0.3	0.19	1
55	0	0.16	0.17	1
